run_idx,seed,best_epoch,best_valid_loss,valid_mae,valid_medae,valid_mape,valid_mse,valid_rmse,valid_r2,test_mae,test_medae,test_mape,test_mse,test_rmse,test_r2,result_dir
0,42,79,17.805733998616535,18.286293029785156,9.566560745239258,0.2538547217845917,785.4364624023438,28.025639375442335,0.8964558839797974,17.447233200073242,11.24517822265625,0.268796443939209,595.7913818359375,24.408838191031084,0.9257137179374695,Train/Results/DeepGCNRT/MiniDatasets/LIFE_new_184/20260422_120635_187_3c168795
1,43,117,14.342762417263454,14.816672325134277,5.5833587646484375,0.18524007499217987,668.8884887695312,25.862878586296834,0.9415245056152344,15.813694953918457,13.901153564453125,0.20626971125602722,433.72003173828125,20.82594611868285,0.936997652053833,Train/Results/DeepGCNRT/MiniDatasets/LIFE_new_184/20260422_120825_535_1f606aa4
2,44,75,12.702684190538195,13.194962501525879,5.348865509033203,0.1309191733598709,734.7527465820312,27.1063230000314,0.9177134037017822,13.120111465454102,11.49774169921875,0.21955978870391846,266.74761962890625,16.332410098601684,0.9678720235824585,Train/Results/DeepGCNRT/MiniDatasets/LIFE_new_184/20260422_120947_496_cda93460
3,45,92,18.31169361538357,18.80390167236328,6.133241653442383,0.3391854465007782,1002.846435546875,31.667750718149765,0.886833131313324,21.62726593017578,7.6495361328125,0.3443807363510132,1809.8575439453125,42.54242052287707,0.7812455296516418,Train/Results/DeepGCNRT/MiniDatasets/LIFE_new_184/20260422_121116_970_08f14838
4,46,91,26.23676914638943,26.73676300048828,19.552635192871094,0.22326891124248505,1504.13134765625,38.78313225690068,0.7786049246788025,18.416946411132812,8.552474975585938,0.287924200296402,939.07080078125,30.64426211840073,0.8888986110687256,Train/Results/DeepGCNRT/MiniDatasets/LIFE_new_184/20260422_121247_983_6bd966c2
