epoch,lr,train_loss,valid_loss,test_loss,train_mae,valid_mae,test_mae,train_medae,valid_medae,test_medae,train_mape,valid_mape,test_mape,train_mse,valid_mse,test_mse,train_rmse,valid_rmse,test_rmse,train_r2,valid_r2,test_r2,best_valid_loss
1,0.0009999383162408303,151.70722756926546,96.27652401394315,114.93582359520164,152.2069854736328,96.77651977539062,115.4303970336914,132.30044555664062,72.65475463867188,117.13143920898438,0.6155341267585754,0.40383943915367126,0.5187921524047852,34610.30859375,17857.21484375,19184.34765625,186.03845998542883,133.6308903051611,138.5075725592287,0.38179880380630493,0.6731342077255249,0.647177517414093,96.27652401394315
2,0.0009997532801828658,81.56388765839776,71.87599817911784,89.85819862984322,82.06293487548828,72.37600708007812,90.35820007324219,62.90330505371094,32.72283935546875,75.33880615234375,0.3626265525817871,0.3013172447681427,0.37031689286231995,11741.9921875,11982.875,13134.8818359375,108.36047336321488,109.46631902096644,114.60751212698712,0.790267288684845,0.7806605100631714,0.7584342360496521,71.87599817911784
3,0.0009994449374809851,63.174491436620755,69.77220831976996,85.75511437493401,63.674171447753906,70.27220916748047,86.2525863647461,49.7215576171875,51.299041748046875,62.96588134765625,0.24871711432933807,0.2503514587879181,0.27162083983421326,7503.93994140625,9693.1708984375,11990.0693359375,86.62528465411384,98.45390240329482,109.4991750468354,0.8659663796424866,0.8225722312927246,0.7794886827468872,69.77220831976996
4,0.0009990133642141358,57.04809390064777,63.332398308648,73.05785060573268,57.54594039916992,63.83240509033203,73.55785369873047,42.37945556640625,33.89949035644531,55.44987487792969,0.2097814530134201,0.2268085777759552,0.28167012333869934,6365.77978515625,12300.35546875,8748.2822265625,79.78583699602487,110.9069676294055,93.53225233341973,0.8862959146499634,0.7748492360115051,0.839108943939209,63.332398308648
5,0.000998458666866564,51.168707490377,72.89917246500652,73.22791249043233,51.66299819946289,73.399169921875,73.7279052734375,38.487030029296875,55.09210205078125,61.822509765625,0.1973353922367096,0.23969872295856476,0.2439265102148056,4878.65673828125,13218.9833984375,8232.755859375,69.84738175680782,114.97383788687537,90.73453509758563,0.9128586053848267,0.7580342888832092,0.8485900163650513,63.332398308648
6,0.00099778098230154,45.596545563530675,76.12383609347873,87.43846810830605,46.093780517578125,76.62383270263672,87.9384765625,34.1744384765625,53.44291687011719,72.9017333984375,0.17132388055324554,0.21190370619297028,0.2966935336589813,4037.323486328125,15028.625,12901.7646484375,63.539936153006366,122.59129251296766,113.58593508193476,0.9278863072395325,0.7249099016189575,0.7627215385437012,63.332398308648
7,0.0009969804777275899,43.02924491122007,75.91390652126736,79.63697155101879,43.525718688964844,76.41390991210938,80.13697814941406,35.702613830566406,60.072166442871094,63.38494873046875,0.14929482340812683,0.25685906410217285,0.2889614999294281,3793.07177734375,13245.494140625,10251.3681640625,61.58791908600055,115.0890704655529,101.24904031180986,0.9322490692138672,0.7575490474700928,0.8114653825759888,63.332398308648
8,0.000996057350657239,38.56363398758406,64.64739227294922,73.05979321454022,39.062557220458984,65.14739227294922,73.5597915649414,29.766632080078125,47.34855651855469,57.30438232421875,0.13164609670639038,0.2187359482049942,0.2756178379058838,3254.227783203125,10064.90234375,9800.734375,57.04583931544109,100.32398688125387,98.99865845050628,0.9418737292289734,0.8157678842544556,0.8197530508041382,63.332398308648
9,0.0009950118288582787,39.533795491116976,73.44526248508029,77.86795683164854,40.030128479003906,73.94526672363281,78.3548583984375,28.15576171875,58.55735778808594,73.30328369140625,0.14226604998111725,0.25068363547325134,0.29734835028648376,3170.315185546875,11474.77734375,9849.3671875,56.30555199575682,107.12038715272644,99.24397809187215,0.9433726072311401,0.7899609804153442,0.8188586831092834,63.332398308648
10,0.0009938441702975688,37.291113614216705,70.30825636121962,73.90264810098184,37.788665771484375,70.80825805664062,74.40251159667969,28.54595947265625,56.571990966796875,64.89993286132812,0.12514786422252655,0.24564045667648315,0.28665339946746826,2877.3759765625,11488.3447265625,8787.5166015625,53.64117799379969,107.18369617886155,93.74175484575963,0.9486050009727478,0.7897126078605652,0.8383873701095581,63.332398308648
