run_idx,seed,best_epoch,best_valid_loss,valid_mae,valid_medae,valid_mape,valid_mse,valid_rmse,valid_r2,test_mae,test_medae,test_mape,test_mse,test_rmse,test_r2,result_dir
0,42,3,99.8209940592448,100.32098388671875,95.408447265625,0.18623657524585724,14271.9501953125,119.46526773632786,0.08916115760803223,100.35030364990234,66.64410400390625,0.5102930665016174,20749.66015625,144.04742328917237,0.3696097135543823,Train/Results/DeepGCNRT/MiniDatasets/Cao_HILIC_116/20260422_104939_004_d9333f2c
1,43,31,30.203352610270183,30.699609756469727,30.876373291015625,0.046814221888780594,1350.1302490234375,36.74411856370265,0.9027895927429199,100.4605941772461,109.49057006835938,0.37936165928840637,13903.6787109375,117.9138614028796,0.7533636093139648,Train/Results/DeepGCNRT/MiniDatasets/Cao_HILIC_116/20260422_105006_784_7a4dc119
2,44,53,67.3743413289388,67.87433624267578,42.58135986328125,0.3182603716850281,10254.3154296875,101.26359380195579,0.7795121073722839,91.73403930664062,37.7926025390625,0.5682658553123474,19450.107421875,139.4636419353625,0.43472540378570557,Train/Results/DeepGCNRT/MiniDatasets/Cao_HILIC_116/20260422_105042_883_064a1e5a
3,45,16,99.30289967854817,99.80289459228516,51.6961669921875,0.37655308842658997,23595.84375,153.60938692020093,0.42664843797683716,129.8823699951172,59.692230224609375,0.7085025906562805,34379.79296875,185.41788740234853,0.5733132362365723,Train/Results/DeepGCNRT/MiniDatasets/Cao_HILIC_116/20260422_105105_077_c8240687
4,46,58,84.12778727213542,84.6277847290039,55.80035400390625,0.22066497802734375,11961.7666015625,109.36986148643739,0.7617114782333374,132.60646057128906,69.6328125,0.425252765417099,34720.04296875,186.33315048254295,-0.36917948722839355,Train/Results/DeepGCNRT/MiniDatasets/Cao_HILIC_116/20260422_105145_804_c3a52e20
